user_interview_id,answers_id,grade,duration_time_audio,duration_time_db
443690,565,20,61,60
443814,565,20,61,60
443928,514,25,51,50
444111,463,30,43,40
444147,497,30,64,40
444153,599,20,104,60
445108,599,20,61,60
445581,582,20,77,60
445690,463,30,57,40
445791,582,20,61,60
445861,646,15,121,120
445990,106,20,61,60
446112,463,30,42,40
446298,531,25,51,50
446358,463,30,51,40
446731,514,25,52,50
